data | values
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-04 | 999
2009-02-29 | 100
2009-03-10 | -2147483649
2009-05-03 | 772.63
2009-08-31 | 3.40282347e+39
2009-09-06 | 324
2009-10-29 | -3.40282347e+39
2010-05-06 | 141.8
2010-8-04 | 990.52
2011-03-25 | 971.32
2011-13-02 | 358
2012-01-15 | 757.5
2012-06-09 | 509
2013-02-28 | 386
2014-10-25 | 601.39
2015-08-02 | 489
2015-08-21 | 798.23
2016-03-05 | 685.72
2017-06-12 | 955.47
2017-06-28 | 615
2017-09-17 | 181.63
2018-03-18 | 221.8
2018-03-22 | 714.88
2018-07-15 | 598.78
2018-12-23 | 224
2019-05-29 | 93.65
2019-06-17 | 335
2020-07-30 | 523
2021-05-03 | 552.17
